frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
6.437500000000000167e-02,5.308440257395095063e-01,7.209336085370920966e-01
6.500000000000000222e-02,5.224985647159489099e-01,7.163455413697653595e-01
6.562500000000000278e-02,5.141027441932216613e-01,7.117427677262798680e-01
6.625000000000000333e-02,5.056573733779845536e-01,7.071259481036297201e-01
6.687500000000000389e-02,4.971632662526542790e-01,7.024957413254949712e-01
6.750000000000000444e-02,4.886212414969549611e-01,6.978528043910717793e-01
6.812500000000000500e-02,4.800321224090111638e-01,6.931977923254504237e-01
6.875000000000000555e-02,4.713967368259975865e-01,6.885313580315829407e-01
6.937500000000000611e-02,4.627159170443499447e-01,6.838541521438865622e-01
7.000000000000000666e-02,4.539904997395468045e-01,6.791668228835252563e-01
7.062500000000000722e-02,4.452213258854681999e-01,6.744700159154120023e-01
7.125000000000000777e-02,4.364092406733420249e-01,6.697643742069719908e-01
7.187500000000000833e-02,4.275550934302819739e-01,6.650505378887074937e-01
7.249999999999999500e-02,4.186597375374281338e-01,6.603291441166033726e-01
7.312499999999999556e-02,4.097240303476955003e-01,6.556008269364099750e-01
7.374999999999999611e-02,4.007488331031410778e-01,6.508662171498427185e-01
7.437499999999999667e-02,3.917350108519560559e-01,6.461259421827311167e-01
7.499999999999999722e-02,3.826834323650898373e-01,6.413806259551537714e-01
7.562499999999999778e-02,3.735949700525163508e-01,6.366308887535934158e-01
7.624999999999999833e-02,3.644704998791498118e-01,6.318773471051413182e-01
7.687499999999999889e-02,3.553109012804162026e-01,6.271206136537872400e-01
7.749999999999999944e-02,3.461170570774930177e-01,6.223612970388197052e-01
7.812500000000000000e-02,3.368898533922200511e-01,6.176000017753711102e-01
7.875000000000000056e-02,3.276301795616934354e-01,6.128373281371297665e-01
7.937500000000000111e-02,3.183389280525498188e-01,6.080738720412518505e-01
8.000000000000000167e-02,3.090169943749474513e-01,6.033102249354932445e-01
8.062500000000000222e-02,2.996652769962566132e-01,5.985469736875896896e-01
8.125000000000000278e-02,2.902846772544623311e-01,5.937847004769067905e-01
8.187500000000000333e-02,2.808760992712922011e-01,5.890239826883818530e-01
8.250000000000000389e-02,2.714404498650743180e-01,5.842653928087797599e-01
8.312500000000000444e-02,2.619786384633374654e-01,5.795094983252818688e-01
8.375000000000000500e-02,2.524915770151578975e-01,5.747568616264262520e-01
8.437500000000000555e-02,2.429801799032637877e-01,5.700080399054181512e-01
8.500000000000000611e-02,2.334453638559054744e-01,5.652635850658249694e-01
8.562500000000000666e-02,2.238880478584983902e-01,5.605240436296738959e-01
8.625000000000000722e-02,2.143091530650506893e-01,5.557899566479626019e-01
8.687500000000000777e-02,2.047096027093795179e-01,5.510618596135987701e-01
8.750000000000000833e-02,1.950903220161281093e-01,5.463402823767795624e-01
8.812499999999999500e-02,1.854522381115911445e-01,5.416257490628200166e-01
8.874999999999999556e-02,1.757962799343546767e-01,5.369187779924419202e-01
8.937499999999999611e-02,1.661233781457655823e-01,5.322198816045305980e-01
8.999999999999999667e-02,1.564344650402309245e-01,5.275295663813660552e-01
9.062499999999999722e-02,1.467304744553617479e-01,5.228483327763358002e-01
9.124999999999999778e-02,1.370123416819682138e-01,5.181766751441335694e-01
9.187499999999999833e-02,1.272810033739133206e-01,5.135150816734475043e-01
9.249999999999999889e-02,1.175373974578377001e-01,5.088640343221412232e-01
9.312499999999999944e-02,1.077824630427593466e-01,5.042240087549293426e-01
9.375000000000000000e-02,9.801714032956077016e-02,4.995954742835464479e-01
9.437500000000000056e-02,8.824237052036962292e-02,4.949788938094116797e-01
9.500000000000000111e-02,7.845909572784499908e-02,4.903747237687846594e-01
9.562500000000000167e-02,6.866825888437376457e-02,4.857834140804118128e-01
9.625000000000000222e-02,5.887080365118898401e-02,4.812054080956585378e-01
9.687500000000000278e-02,4.906767432741812596e-02,4.766411425511228872e-01
9.750000000000000333e-02,3.925981575906866555e-02,4.720910475237248272e-01
9.812500000000000389e-02,2.944817324796316846e-02,4.675555463882637430e-01
9.875000000000000444e-02,1.963369246062825202e-02,4.630350557774375875e-01
9.937500000000000500e-02,9.817319337149511133e-03,4.585299855443144001e-01
1.000000000000000056e-01,6.123233995736766036e-17,4.540407387272449857e-01
1.006250000000000061e-01,9.817319337149611747e-03,4.495677115172093119e-01
1.012500000000000067e-01,1.963369246062835263e-02,4.451112932275813061e-01
1.018750000000000072e-01,2.944817324796326907e-02,4.406718662663025587e-01
1.025000000000000078e-01,3.925981575906876964e-02,4.362498061104491676e-01
1.031250000000000083e-01,4.906767432741800800e-02,4.318454812831792333e-01
1.037500000000000089e-01,5.887080365118908115e-02,4.274592533330441313e-01
1.043749999999999956e-01,6.866825888437363967e-02,4.230914768156484596e-01
1.049999999999999961e-01,7.845909572784487418e-02,4.187424992776418997e-01
1.056249999999999967e-01,8.824237052036949802e-02,4.144126612430236167e-01
1.062499999999999972e-01,9.801714032956042322e-02,4.101022962017432105e-01
1.068749999999999978e-01,1.077824630427592217e-01,4.058117306005760705e-01
1.074999999999999983e-01,1.175373974578375752e-01,4.015412838362548698e-01
1.081249999999999989e-01,1.272810033739131819e-01,3.972912682508356053e-01
1.087499999999999994e-01,1.370123416819678530e-01,3.930619891292762569e-01
1.093750000000000000e-01,1.467304744553616369e-01,3.888537446992064162e-01
1.100000000000000006e-01,1.564344650402308134e-01,3.846668261328636818e-01
